name,status,publisher,price_old,price_new,discount,authors,img_url
Black Hat Go. Программирование для хакеров и пентестеров,На складе,Питер:            Библиотека программиста,3219,2511,22,Коттманн Дэн и др.,https://img3.labirint.ru/rc/ec61fd00e7f8363f067c94aeb179b53a/220x340q80/books88/878309/cover.jpg?1661531125
Алгоритмы неформально. Инструкция для начинающих питонистов,На складе,Питер:            Библиотека программиста,1817,1417,22,Брэдфорд Такфилд,https://img4.labirint.ru/rc/de1e632ee0e06293cc561a6080342c43/220x340q80/books88/878310/cover.jpg?1661527526
Разработка интерфейсов. Паттерны проектирования,На складе,Питер:            Бестселлеры O`Reilly,3546,2766,22,Тидвелл Дженифер и др.,https://img3.labirint.ru/rc/6833295ca473018c972cf16d94e50f26/220x340q80/books88/878311/cover.jpg?1661527527
Компьютерные системы. Архитектура и программирование,На складе,ДМК-Пресс,6730,3702,45,"Брайант Рэндал Э., О`Халларон Дэвид",https://img4.labirint.ru/rc/797bc588f2e72a45eb8e62e56ec3e4f7/220x340q80/books88/877092/cover.jpg?1661693115
Социальная инженерия и этичный хакинг на практике,На складе,ДМК-Пресс,2693,1481,45,Грей Джо,https://img3.labirint.ru/rc/b968e8ea13f02802745bae94de77c542/220x340q80/books88/877093/cover.jpg?1661531121
Spring быстро,На складе,Питер,3636,2836,22,Спилкэ Лауренциу,https://img4.labirint.ru/rc/8e33510afcf48a4f30a403a4a3d5830d/220x340q80/books88/876892/cover.jpg?1661185518
Kali Linux. Библия пентестера,На складе,Питер:            Для профессионалов,5437,4241,22,Хаваджа Гас,https://img3.labirint.ru/rc/a5c1e2ad883ee0e6fe5dc9b1084b3639/220x340q80/books88/876893/cover.jpg?1661189116
Основы программирования. Учебник для СПО,Ограничено,Лань:            Компьютеры и программное обеспечение,2585,1422,45,Шеина Татьяна Юрьевна,https://img3.labirint.ru/rc/cedb64591e5fd2a51dd2ae9ca5a735b1/220x340q80/books88/876067/cover.jpg?1661099122
Разработка мобильных приложений. Учебник,На складе,Кнорус:            Среднее профессиональное образование,2745,1510,45,Коржинский Сергей Николавеич,https://img3.labirint.ru/rc/57505d939f6748ee849b5388e323324d/220x340q80/books88/874439/cover.jpg?1661001907
Интернет вещей для начинающих. Визуальное программирование микроконтроллеров семейства ESP8266,На складе,Инфра-Инженерия,1317,724,45,Шамин Алексей Алексеевич,https://img3.labirint.ru/rc/d8373cc9e0126f00dc110c1085c3e215/220x340q80/books88/873595/cover.jpg?1660134323
Моделирование систем управления. Учебник для вузов,На складе,Лань:            Компьютеры и программное обеспечение,3975,2186,45,"Семенов Анатолий Дмитриевич, Юрков Николай Кондратьевич",https://img3.labirint.ru/rc/aba6dbaf6e7718048cd0c2a7f909cbcf/220x340q80/books85/845025/cover.jpg?1660022729
Исследование операций. Том 2. Задачи транспортного типа. Учебник для вузов,На складе,Лань:            Компьютеры и программное обеспечение,3975,2186,45,Трушков Александр Сергеевич,https://img4.labirint.ru/rc/bfef19dc607f7d64cacaebaf1a78898a/220x340q80/books88/870524/cover.jpg?1660029908
"Python для сетевых инженеров. Автоматизация сети, программирование и DevOps",На складе,Питер:            Для профессионалов,4891,3815,22,Чоу Эрик,https://img3.labirint.ru/rc/da8c6bc73d8364449465782c53228db1/220x340q80/books88/874559/cover.jpg?1659518773
Kafka в действии,На складе,ДМК-Пресс,4038,2221,45,Скотт Дилан и др.,https://img4.labirint.ru/rc/2289bbba5c74b105022245fc141d6d6a/220x340q80/books88/874738/cover.jpg?1659864387
Python. К вершинам мастерства. Лаконичное и эффективное программирование,На складе,ДМК-Пресс,6730,3702,45,Лусиану Рамальо,https://img3.labirint.ru/rc/35d15b9d24aa05373d132af54e84a0a0/220x340q80/books88/874739/cover.jpg?1659968706
